t,x,pi,i
0,0.0,0.0,0.0
1,0.011895052808378322,0.046596088547527226,-0.027413785536221754
2,-0.18339370467881502,-0.0677520203490643,-0.09631551077586016
3,-0.07874258520114513,0.1485696868435697,-0.16363535197640736
4,-0.13104815974932554,0.1429608956715227,-0.019086519155975756
5,-0.09220055628326873,-0.06762375274580738,0.036252323019235554
6,0.005956759420489122,-0.24131291982717334,-0.05911368879166444
7,-0.4721248963445696,-0.40903714731573587,-0.3336077915077223
8,-0.49520616568736675,-0.509820185459102,-0.43295697513632786
9,-0.39505625731899824,-0.3931901915678041,-0.8287334920459397
10,-0.3968360905368238,-0.3027146703313668,-0.7812731951960487
11,-0.6117920518286433,-0.34506060137820616,-0.8166799942403271
12,-0.5723832510777378,-0.13375905498067256,-0.8627680187861894
13,-0.3495212630015796,-2.5142331164407228e-05,-0.7740037237629618
14,-0.2108491748254957,-0.015072840135100912,-0.5668926569277332
15,-0.3593396863283268,-0.05152362247375836,-0.28670172147034945
16,-0.54624958004692,0.01605579271194671,-0.24428200434232714
17,-0.4531211158730065,0.24172779019758045,-0.13670878731500458
18,-0.5475056742708906,0.07408825729363419,0.029969412406855946
19,-0.43081584249364996,0.0822671180814139,-0.0016089382323871632
20,-0.12801746595409386,0.24593603970415703,-0.07044570455102853
21,-0.029947465035961296,0.07357336758633776,0.06256449386786533
22,-0.28762987892434816,-0.08589570076225057,0.05458829198767154
23,-0.011809863695329187,0.11847440110647008,-0.1586807293032595
24,-0.11416910080634496,0.15099478892894358,-0.2580678961643992
25,-0.13865251984631585,0.05520595652990542,0.0027264063590561327
26,0.030783521885363166,-0.011340910832581954,-0.022585151306367603
27,0.03193588813848607,0.22651524678964774,-0.06094499307672323
28,0.017152950421024,0.19137045072973202,0.050067551325453465
29,-0.0464112604349368,-0.059249490100059726,0.12155560749023418
30,-0.10476663124985505,0.12365447768101928,0.11955849152910912
31,-0.053763205368945834,0.16638535929337128,0.09591950704303315
32,0.19248440241371056,0.12789394183733538,0.19551661354697653
33,-0.10512458753306056,0.1129696843042066,0.04291708779026426
34,-0.5035567466860845,-0.0534232330771043,-0.018575654247757006
35,-0.2772306980942151,0.26307494941251264,-0.1655358382010826
36,-0.27947456275327914,0.14673437714422052,0.026859206807629148
37,-0.24237432388544045,0.02079492816573377,0.12992549934449893
38,-0.13136142329314676,-0.16227863140558507,0.07057374620445561
39,-0.16873354846305477,-0.2808499044201758,-0.009462379818341238
40,-0.31467034069288624,-0.06990048756848202,-0.1289175509630857
