t,x,pi,i
0,0.0,0.0,0.0
1,0.01189505280837832,0.04659608854752722,-0.027413785536221758
2,-0.183393704678815,-0.06775202034906429,-0.09631551077586017
3,-0.0787425852011451,0.1485696868435697,-0.16363535197640738
4,-0.1310481597493255,0.1429608956715227,-0.019086519155975777
5,-0.09220055628326868,-0.06762375274580738,0.03625232301923555
6,0.005956759420489191,-0.2413129198271733,-0.05911368879166445
7,-0.47212489634456944,-0.4090371473157357,-0.33360779150772235
8,-0.49520616568736664,-0.5098201854591018,-0.4329569751363278
9,-0.39505625731899824,-0.3931901915678039,-0.8287334920459396
10,-0.3968360905368237,-0.3027146703313667,-0.7812731951960487
11,-0.6117920518286432,-0.345060601378206,-0.8166799942403272
12,-0.5723832510777376,-0.13375905498067242,-0.8627680187861894
13,-0.3495212630015795,-2.5142331164296206e-05,-0.7740037237629618
14,-0.2108491748254956,-0.015072840135100823,-0.5668926569277332
15,-0.35933968632832664,-0.051523622473758274,-0.28670172147034945
16,-0.5462495800469198,0.016055792711946806,-0.2442820043423271
17,-0.4531211158730063,0.2417277901975805,-0.1367087873150045
18,-0.5475056742708904,0.07408825729363425,0.029969412406856064
19,-0.43081584249364974,0.08226711808141395,-0.0016089382323870322
20,-0.12801746595409377,0.24593603970415706,-0.07044570455102842
21,-0.029947465035961244,0.0735733675863378,0.06256449386786543
22,-0.2876298789243481,-0.08589570076225049,0.054588291987671636
23,-0.01180986369532916,0.11847440110647009,-0.15868072930325944
24,-0.11416910080634496,0.15099478892894355,-0.2580678961643991
25,-0.13865251984631585,0.055205956529905384,0.0027264063590561466
26,0.030783521885363124,-0.011340910832581975,-0.022585151306367617
27,0.03193588813848604,0.2265152467896477,-0.06094499307672326
28,0.017152950421023966,0.19137045072973197,0.050067551325453416
29,-0.04641126043493683,-0.05924949010005977,0.12155560749023413
30,-0.10476663124985508,0.12365447768101925,0.11955849152910906
31,-0.05376320536894587,0.16638535929337123,0.09591950704303312
32,0.1924844024137105,0.1278939418373353,0.19551661354697653
33,-0.10512458753306059,0.11296968430420654,0.04291708779026421
34,-0.5035567466860844,-0.053423233077104317,-0.01857565424775709
35,-0.27723069809421497,0.2630749494125126,-0.1655358382010827
36,-0.27947456275327903,0.1467343771442205,0.026859206807629085
37,-0.24237432388544036,0.02079492816573377,0.1299254993444989
38,-0.13136142329314673,-0.16227863140558502,0.0705737462044556
39,-0.16873354846305472,-0.2808499044201757,-0.009462379818341221
40,-0.3146703406928862,-0.0699004875684819,-0.12891755096308566
